RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,GENDER,FIRST_GENERATION_IND,ATSI_DESC,ATSI_GROUP,REGIONAL_REMOTE,SES,ADMISSION_PATHWAY,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
International,2025,5256,2025 Term 2,Undergraduate,3979,Information Systems,65270,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2222,2222,WILC,12238075
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC2515,2515,WILC,12727350
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,65717,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 3,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC2516,2516,WILC,12727350
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC2514,2514,WILC,12727350
Local,2025,5259,2025 Term 3,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,COMM3030,3030,WILC,12737556
Local,2025,5259,2025 Term 3,Undergraduate,4733,Commerce / Law,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM2233,2233,WILC,12729681
Local,2025,5259,2025 Term 3,Undergraduate,3896,Ex Sci/Physiotherapy Ex Phys,66951,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Ex Sci Professional Placement,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,EXPT3170,3170,WILC,12731586
Local,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66909,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Global Practice of Work,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,ATAR,CDEV3300,3300,WILC,12797258
Local,2025,5252,2025 Summer Term,Undergraduate,3502,Commerce,64957,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Practice of Work,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,ATAR,CDEV3000,3000,WILC,12797258
Local,2025,5259,2025 Term 3,Undergraduate,3896,Ex Sci/Physiotherapy Ex Phys,66951,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Ex Sci Professional Placement,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Gateway ECO,EXPT3170,3170,WILC,12953221
International,2025,5256,2025 Term 2,Postgraduate,8417,Commerce (Extension),64384,1,COMM,UNSW Business School,COMM,UNSW Business School,Enterprise Skills,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5008,5008,WILC,13169251
International,2025,5259,2025 Term 3,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2233,2233,WILC,13246360
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64384,1,COMM,UNSW Business School,COMM,UNSW Business School,Enterprise Skills,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5008,5008,WILC,13449997
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,13633382
International,2025,5253,2025 Term 1,Postgraduate,9052,GlbHlth (Extn) / PHealth,63578,1,MED,Faculty of Medicine and Health,PHCM,School of Population Health,Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,PHCM9143,9143,WILC,13680363
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,13761043
Local,2025,5253,2025 Term 1,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,VET/TAFE,COMM2244,2244,WILC,13876923
Local,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,VET/TAFE,COMM3030,3030,WILC,13876923
International,2025,5259,2025 Term 3,Postgraduate,8415,Professional Accounting (Ext),64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28126417
International,2025,5259,2025 Term 3,Postgraduate,8415,Professional Accounting (Ext),64384,1,COMM,UNSW Business School,COMM,UNSW Business School,Enterprise Skills,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5008,5008,WILC,28126417
International,2025,5259,2025 Term 3,Postgraduate,8417,Commerce (Extension),64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28168568
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28456346
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,28472163
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28479027
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,28632851
Local,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,COMM5030,5030,WILC,28980810
Local,2025,5254,2025 Semester 1 Canberra,Undergraduate,4472,Aeronautical Engineering (Hon),55648,1,UNICL,UNSW Canberra at ADFA,ZEIT,School of Engineering & Technology,Mechanical & Electronic Design,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Outer Regional Australia,Low,ATAR,ZEIT2501,2501,WILC,29004372
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,29062845
Local,2025,5253,2025 Term 1,Undergraduate,3785,Engineering (Hons) / Comp Sci,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,ENGG4999,4999,WILC,29257150
Local,2025,5253,2025 Term 1,Undergraduate,3961,Engineering (Honours) / Arts,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,29264167
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,29274949
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,29422773
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43511333
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43523942
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43519728
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43615822
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,44072575
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,45210907
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,45239075
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,45663766
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,46086394
Local,2025,5253,2025 Term 1,Undergraduate,3764,Engineering (Hons)/Commerce,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,ATAR,ENGG4999,4999,WILC,46986548
Local,2025,5253,2025 Term 1,Undergraduate,3785,Engineering (Hons) / Comp Sci,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ENGG4999,4999,WILC,47074829
Local,2025,5253,2025 Term 1,Undergraduate,3764,Engineering (Hons)/Commerce,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47088722
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47074836
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47069860
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,HE,ENGG4999,4999,WILC,47089711
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ENGG4999,4999,WILC,47085486
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,47121958
Local,2025,5259,2025 Term 3,Undergraduate,4053,Arts / Education (Secondary),65316,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,HE,EDST6765,6765,WILC,605288
Local,2025,5256,2025 Term 2,Undergraduate,4053,Arts / Education (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,HE,EDST6760,6760,WILC,605288
Local,2025,5256,2025 Term 2,Undergraduate,4053,Arts / Education (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,EDST6760,6760,WILC,1360355
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,MFAC3514,3514,WILC,1194446
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,MFAC3515,3515,WILC,1194446
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,MFAC3503,3503,WILC,1194446
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,MFAC3509,3509,WILC,1194446
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,MFAC3504,3504,WILC,1194446
International,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3503,3503,WILC,1592872
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3515,3515,WILC,1592872
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3509,3509,WILC,1592872
International,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3514,3514,WILC,1592872
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3504,3504,WILC,1592872
Local,2025,5253,2025 Term 1,Undergraduate,4782,Arts / Law,63377,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",Police Powers Clinic,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,LAWS3319,3319,WILC,1642393
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3505,3505,WILC,1664762
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3515,3515,WILC,1664762
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3509,3509,WILC,1664762
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3514,3514,WILC,1664762
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3504,3504,WILC,1664762
International,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3501,3501,WILC,5809822
International,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3505,3505,WILC,5809822
International,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3503,3503,WILC,5809822
International,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3504,3504,WILC,5809822
International,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3502,3502,WILC,5809822
Local,2025,5256,2025 Term 2,Undergraduate,4058,Economics/Educ (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,EDST6760,6760,WILC,9808317
Local,2025,5252,2025 Summer Term,Undergraduate,3584,Commerce / Information Systems,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM3030,3030,WILC,9813576
Local,2025,5253,2025 Term 1,Undergraduate,4733,Commerce / Law,66056,1,COMM,UNSW Business School,ACCT,"School of Accounting, Auditing and Taxation",UNSW Tax and Business Clinic,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,TABL3033,3033,WILC,9811568
Local,2025,5253,2025 Term 1,Undergraduate,3473,Music (Honours) / Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM3030,3030,WILC,9802118
International,2025,5256,2025 Term 2,Undergraduate,3584,Commerce / Information Systems,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM3030,3030,WILC,10509107
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2233,2233,WILC,10745861
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,62771,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Clinical Transition,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,HE,MFAC2507,2507,WILC,10846150
Local,2025,5256,2025 Term 2,Postgraduate,8095,Clinical Optometry,65111,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 4A,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,OPTM6412,6412,WILC,10835069
Local,2025,5259,2025 Term 3,Postgraduate,8095,Clinical Optometry,65112,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 4B,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,OPTM6422,6422,WILC,10835069
Local,2025,5256,2025 Term 2,Undergraduate,4058,Economics/Educ (Secondary),59591,1,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Professional Experience 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,HE,EDST6760,6760,WILC,10841128
Local,2025,5253,2025 Term 1,Undergraduate,3341,Media,62809,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,Media and Arts Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ARTS3015,3015,WILC,10830661
Local,2025,5259,2025 Term 3,Undergraduate,3871,Exercise Physiology,60843,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum B,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,HESC4622,4622,WILC,10870179
Local,2025,5256,2025 Term 2,Undergraduate,3871,Exercise Physiology,60608,1,MED,Faculty of Medicine and Health,HEALTHSCI,School of Health Sciences,Clinical Practicum A,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,HE,HESC4611,4611,WILC,10870179
International,2025,5253,2025 Term 1,Undergraduate,3454,Media (Comm and Journalism),62809,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,Media and Arts Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ARTS3015,3015,WILC,12050347
International,2025,5253,2025 Term 1,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2233,2233,WILC,12125362
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,12189454
International,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC2515,2515,WILC,12209492
International,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,65717,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 3,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC2516,2516,WILC,12209492
International,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC2514,2514,WILC,12209492
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,12276642
International,2025,5253,2025 Term 1,Postgraduate,8415,Professional Accounting (Ext),66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,12332434
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC2514,2514,WILC,12374988
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC2515,2515,WILC,12374988
